date	created	modified	released
20111025	2	0	5
20111026	0	0	4
20111027	0	0	2
20111028	0	0	7
20111029	0	0	3
20111031	0	0	3
20111101	0	0	1
20111102	0	0	2
20111107	0	0	3
20111114	1	0	1
20111121	1	1	1
20111122	2	0	2
20111123	1	0	1
20111125	1	0	8
20111126	0	0	2
20111127	1	0	3
20111128	0	0	3
20111130	1	0	2
20111201	0	0	1
20111202	1	0	1
20111204	0	0	1
20111205	1	1	1
20111206	0	0	3
20111207	0	0	2
20111208	0	0	1
20111209	0	0	1
20111212	0	0	1
20111216	0	0	1
20111219	0	0	1
20111220	0	0	1
20111222	1	1	3
20111224	0	0	3
20120102	1	0	2
20120103	2	1	5
20120104	2	1	3
20120105	0	0	3
20120106	1	1	1
20120107	1	1	2
20120108	0	0	1
20120109	0	1	1
20120110	0	0	2
20120112	1	1	3
20120113	2	1	9
20120118	0	0	1
20120126	0	0	1
20120127	0	0	1
20120131	0	0	1
20120202	0	0	5
20120206	0	0	1
20120207	1	0	1
20120208	0	1	1
20120210	1	0	1
20120216	0	0	1
20120221	0	0	2
20120222	0	0	1
20120301	0	0	1
20120302	0	0	3
20120305	0	0	1
20120306	0	0	1
20120316	1	0	1
20120318	0	1	2
20120321	0	1	4
20120324	0	0	1
20120327	0	1	2
20120328	0	0	1
20120330	1	1	1
20120406	0	0	2
20120410	0	0	2
20120420	0	0	1
20120421	1	1	2
20120422	0	0	1
20120425	0	0	1
20120501	1	0	2
20120503	0	0	1
20120505	0	0	1
20120506	1	0	4
20120509	1	2	5
20120510	1	0	1
20120511	0	1	6
20120512	0	0	1
20120523	0	0	1
20120524	1	0	2
20120602	0	0	1
20120605	0	0	1
20120606	0	0	1
20120607	1	1	1
20120612	0	0	1
20120615	0	0	1
20120616	1	0	8
20120617	0	0	4
20120618	0	1	1
20120626	0	0	1
20120630	0	0	1
20120705	0	0	1
20120711	0	0	1
20120713	0	0	3
20120715	0	0	1
20120718	0	0	1
20120719	1	0	2
20120720	0	0	1
20120727	0	0	2
20120729	1	0	27
20120730	0	0	1
20120731	0	0	1
20120801	0	0	1
20120802	0	0	1
20120806	0	0	1
20120809	0	1	4
20120810	0	0	1
20120815	0	0	1
20120816	0	1	1
20120826	0	0	1
20120830	0	0	1
20120906	0	0	1
20120908	0	0	1
20120921	0	0	1
20121004	1	1	1
20121009	1	1	2
20121012	1	0	6
20121015	0	0	1
20121016	1	0	4
20121017	0	0	2
20121018	0	0	2
20121019	0	1	9
20121022	0	1	1
20121025	0	0	2
20121030	2	0	3
20121102	0	0	1
20121106	0	0	5
20121108	0	0	1
20121123	1	0	1
20121127	0	0	1
20121217	0	0	1
20121225	1	1	3
20121230	1	1	2
20130107	0	0	1
20130109	0	0	4
20130110	0	0	1
20130111	0	0	1
20130112	0	0	1
20130115	0	0	4
20130116	0	0	2
20130120	0	0	1
20130122	0	0	2
20130123	0	0	1
20130125	0	0	2
20130126	1	0	2
20130127	0	0	2
20130129	1	1	1
20130130	0	0	1
20130131	0	1	1
20130202	1	0	2
20130203	0	0	2
20130204	0	0	1
20130206	0	0	1
20130208	0	1	2
20130210	1	0	1
20130211	0	0	2
20130212	0	0	1
20130213	1	0	3
20130215	1	1	2
20130220	0	0	4
20130222	0	0	2
